Directive,File,Line Number,Description
"#if (ESP_IDF_VERSION >= ESP_IDF_VERSION_VAL(4, 0, 0))",examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,101,"Conditional compilation - evaluates compile-time expression - (ESP_IDF_VERSION >= ESP_IDF_VERSION_VAL(4, 0, 0))"
#endif,examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,103,Ends conditional compilation block
#ifdef BLYNK_FS,examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,105,Conditional compilation - evaluates compile-time expression - def BLYNK_FS
#endif,examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,107,Ends conditional compilation block
#if defined(APP_DEBUG),examples/Blynk.Edgent/Edgent_ESP32/BlynkState.h,16,Conditional compilation - evaluates compile-time expression - defined(APP_DEBUG)
#endif,examples/Blynk.Edgent/Edgent_ESP32/BlynkState.h,30,Ends conditional compilation block
#include <WiFiClient.h>,examples/Blynk.Edgent/Edgent_ESP32/ConfigMode.h,2,Includes the contents of a file (WiFiClient.h)
#include <WebServer.h>,examples/Blynk.Edgent/Edgent_ESP32/ConfigMode.h,3,Includes the contents of a file (WebServer.h)
#include <DNSServer.h>,examples/Blynk.Edgent/Edgent_ESP32/ConfigMode.h,4,Includes the contents of a file (DNSServer.h)
#include <Update.h>,examples/Blynk.Edgent/Edgent_ESP32/ConfigMode.h,5,Includes the contents of a file (Update.h)
#ifndef BLYNK_FS,examples/Blynk.Edgent/Edgent_ESP32/ConfigMode.h,7,Conditional compilation - evaluates compile-time expression - ndef BLYNK_FS
#endif,examples/Blynk.Edgent/Edgent_ESP32/ConfigMode.h,58,Ends conditional compilation block
"#if (ESP_IDF_VERSION >= ESP_IDF_VERSION_VAL(4, 3, 0))",examples/Blynk.Edgent/Edgent_ESP32/ConfigMode.h,136,"Conditional compilation - evaluates compile-time expression - (ESP_IDF_VERSION >= ESP_IDF_VERSION_VAL(4, 3, 0))"
#endif,examples/Blynk.Edgent/Edgent_ESP32/ConfigMode.h,140,Ends conditional compilation block
#ifdef WIFI_CAPTIVE_PORTAL_ENABLE,examples/Blynk.Edgent/Edgent_ESP32/ConfigMode.h,178,Conditional compilation - evaluates compile-time expression - def WIFI_CAPTIVE_PORTAL_ENABLE
#else,examples/Blynk.Edgent/Edgent_ESP32/ConfigMode.h,181,Else clause for conditional compilation
#endif,examples/Blynk.Edgent/Edgent_ESP32/ConfigMode.h,184,Ends conditional compilation block
#ifdef BLYNK_PRINT,examples/Blynk.Edgent/Edgent_ESP32/ConfigMode.h,213,Conditional compilation - evaluates compile-time expression - def BLYNK_PRINT
#endif,examples/Blynk.Edgent/Edgent_ESP32/ConfigMode.h,215,Ends conditional compilation block
#ifdef BLYNK_PRINT,examples/Blynk.Edgent/Edgent_ESP32/ConfigMode.h,217,Conditional compilation - evaluates compile-time expression - def BLYNK_PRINT
#endif,examples/Blynk.Edgent/Edgent_ESP32/ConfigMode.h,219,Ends conditional compilation block
#ifndef BLYNK_FS,examples/Blynk.Edgent/Edgent_ESP32/ConfigMode.h,228,Conditional compilation - evaluates compile-time expression - ndef BLYNK_FS
#endif,examples/Blynk.Edgent/Edgent_ESP32/ConfigMode.h,232,Ends conditional compilation block
#ifdef BLYNK_FS,examples/Blynk.Edgent/Edgent_ESP32/ConfigMode.h,391,Conditional compilation - evaluates compile-time expression - def BLYNK_FS
#endif,examples/Blynk.Edgent/Edgent_ESP32/ConfigMode.h,395,Ends conditional compilation block
#define CONFIG_FLAG_VALID       0x01,examples/Blynk.Edgent/Edgent_ESP32/ConfigStore.h,2,Defines a macro or constant (CONFIG_FLAG_VALID)
#define CONFIG_FLAG_STATIC_IP   0x02,examples/Blynk.Edgent/Edgent_ESP32/ConfigStore.h,3,Defines a macro or constant (CONFIG_FLAG_STATIC_IP)
#define BLYNK_PROV_ERR_NONE     0      // All good,examples/Blynk.Edgent/Edgent_ESP32/ConfigStore.h,5,Defines a macro or constant (BLYNK_PROV_ERR_NONE)
"#define BLYNK_PROV_ERR_CONFIG   700    // Invalid config from app (malformed token,etc)",examples/Blynk.Edgent/Edgent_ESP32/ConfigStore.h,6,Defines a macro or constant (BLYNK_PROV_ERR_CONFIG)
#define BLYNK_PROV_ERR_NETWORK  701    // Could not connect to the router,examples/Blynk.Edgent/Edgent_ESP32/ConfigStore.h,7,Defines a macro or constant (BLYNK_PROV_ERR_NETWORK)
#define BLYNK_PROV_ERR_CLOUD    702    // Could not connect to the cloud,examples/Blynk.Edgent/Edgent_ESP32/ConfigStore.h,8,Defines a macro or constant (BLYNK_PROV_ERR_CLOUD)
#define BLYNK_PROV_ERR_TOKEN    703    // Invalid token error (after connection),examples/Blynk.Edgent/Edgent_ESP32/ConfigStore.h,9,Defines a macro or constant (BLYNK_PROV_ERR_TOKEN)
#define BLYNK_PROV_ERR_INTERNAL 704    // Other issues (i.e. hardware failure),examples/Blynk.Edgent/Edgent_ESP32/ConfigStore.h,10,Defines a macro or constant (BLYNK_PROV_ERR_INTERNAL)
#include <Preferences.h>,examples/Blynk.Edgent/Edgent_ESP32/ConfigStore.h,101,Includes the contents of a file (Preferences.h)
#include <Blynk/BlynkConsole.h>,examples/Blynk.Edgent/Edgent_ESP32/Console.h,2,Includes the contents of a file (Blynk/BlynkConsole.h)
"#include ""esp_partition.h""",examples/Blynk.Edgent/Edgent_ESP32/Console.h,5,Includes the contents of a file (esp_partition.h)
"#include ""esp_ota_ops.h""",examples/Blynk.Edgent/Edgent_ESP32/Console.h,6,Includes the contents of a file (esp_ota_ops.h)
#ifdef BLYNK_PRINT,examples/Blynk.Edgent/Edgent_ESP32/Console.h,13,Conditional compilation - evaluates compile-time expression - def BLYNK_PRINT
#endif,examples/Blynk.Edgent/Edgent_ESP32/Console.h,15,Ends conditional compilation block
#ifdef BLYNK_FS,examples/Blynk.Edgent/Edgent_ESP32/Console.h,136,Conditional compilation - evaluates compile-time expression - def BLYNK_FS
#endif,examples/Blynk.Edgent/Edgent_ESP32/Console.h,139,Ends conditional compilation block
#ifdef BLYNK_FS,examples/Blynk.Edgent/Edgent_ESP32/Console.h,142,Conditional compilation - evaluates compile-time expression - def BLYNK_FS
"#if defined(BLYNK_USE_SPIFFS) && (ESP_IDF_VERSION < ESP_IDF_VERSION_VAL(4, 0, 0))",examples/Blynk.Edgent/Edgent_ESP32/Console.h,148,"Conditional compilation - evaluates compile-time expression - defined(BLYNK_USE_SPIFFS) && (ESP_IDF_VERSION < ESP_IDF_VERSION_VAL(4, 0, 0))"
#else,examples/Blynk.Edgent/Edgent_ESP32/Console.h,150,Else clause for conditional compilation
#endif,examples/Blynk.Edgent/Edgent_ESP32/Console.h,152,Ends conditional compilation block
#endif,examples/Blynk.Edgent/Edgent_ESP32/Console.h,217,Ends conditional compilation block
"#define BLYNK_FIRMWARE_VERSION        ""0.1.0""",examples/Blynk.Edgent/Edgent_ESP32/Edgent_ESP32.ino,27,Defines a macro or constant (BLYNK_FIRMWARE_VERSION)
#define BLYNK_PRINT Serial,examples/Blynk.Edgent/Edgent_ESP32/Edgent_ESP32.ino,29,Defines a macro or constant (BLYNK_PRINT)
#define APP_DEBUG,examples/Blynk.Edgent/Edgent_ESP32/Edgent_ESP32.ino,32,Defines a macro or constant (APP_DEBUG)
"#include ""BlynkEdgent.h""",examples/Blynk.Edgent/Edgent_ESP32/Edgent_ESP32.ino,42,Includes the contents of a file (BlynkEdgent.h)
#if defined(BOARD_LED_PIN_WS2812),examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,2,Conditional compilation - evaluates compile-time expression - defined(BOARD_LED_PIN_WS2812)
#include <Adafruit_NeoPixel.h>    // Library: https://github.com/adafruit/Adafruit_NeoPixel,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,3,Includes the contents of a file (Adafruit_NeoPixel.h)
#endif,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,6,Ends conditional compilation block
#if !defined(BOARD_LED_BRIGHTNESS),examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,10,Conditional compilation - evaluates compile-time expression - !defined(BOARD_LED_BRIGHTNESS)
#define BOARD_LED_BRIGHTNESS 255,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,11,Defines a macro or constant (BOARD_LED_BRIGHTNESS)
#endif,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,12,Ends conditional compilation block
#if defined(BOARD_LED_PIN_WS2812) || defined(BOARD_LED_PIN_R),examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,14,Conditional compilation - evaluates compile-time expression - defined(BOARD_LED_PIN_WS2812) || defined(BOARD_LED_PIN_R)
#define BOARD_LED_IS_RGB,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,15,Defines a macro or constant (BOARD_LED_IS_RGB)
#endif,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,16,Ends conditional compilation block
#define DIMM(x)    ((uint32_t)(x)*(BOARD_LED_BRIGHTNESS)/255),examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,18,Defines a macro or constant (DIMM)
"#define RGB(r,g,b) (DIMM(r) << 16 | DIMM(g) << 8 | DIMM(b) << 0)",examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,19,Defines a macro or constant (RGB)
#define TO_PWM(x)  ((uint32_t)(x)*(BOARD_PWM_MAX)/255),examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,20,Defines a macro or constant (TO_PWM)
"#if defined(BOARD_LED_PIN_WS2812)  // Addressable, NeoPixel RGB LED",examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,74,"Conditional compilation - evaluates compile-time expression - defined(BOARD_LED_PIN_WS2812)  // Addressable, NeoPixel RGB LED"
#elif defined(BOARD_LED_PIN_R)     // Normal RGB LED (common anode or common cathode),examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,86,Else-if for conditional compilation
#if BOARD_LED_INVERSE,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,102,Conditional compilation - evaluates compile-time expression - BOARD_LED_INVERSE
#else,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,106,Else clause for conditional compilation
#endif,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,110,Ends conditional compilation block
#elif defined(BOARD_LED_PIN)       // Single color LED,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,113,Else-if for conditional compilation
#if BOARD_LED_INVERSE,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,121,Conditional compilation - evaluates compile-time expression - BOARD_LED_INVERSE
#else,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,123,Else clause for conditional compilation
#endif,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,125,Ends conditional compilation block
#else,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,128,Else clause for conditional compilation
#warning Invalid LED configuration.,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,130,Generates a compilation warning with a message: Invalid LED configuration.
#endif,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,138,Ends conditional compilation block
#if defined(BOARD_LED_IS_RGB),examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,148,Conditional compilation - evaluates compile-time expression - defined(BOARD_LED_IS_RGB)
#else,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,179,Else clause for conditional compilation
#endif,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,200,Ends conditional compilation block
#if defined(USE_TICKER),examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,213,Conditional compilation - evaluates compile-time expression - defined(USE_TICKER)
#include <Ticker.h>,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,215,Includes the contents of a file (Ticker.h)
#elif defined(USE_PTHREAD),examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,231,Else-if for conditional compilation
#include <pthread.h>,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,233,Includes the contents of a file (pthread.h)
#elif defined(USE_TIMER_ONE),examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,250,Else-if for conditional compilation
#include <TimerOne.h>,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,252,Includes the contents of a file (TimerOne.h)
#elif defined(USE_TIMER_THREE),examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,267,Else-if for conditional compilation
#include <TimerThree.h>,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,269,Includes the contents of a file (TimerThree.h)
#elif defined(USE_TIMER_FIVE),examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,284,Else-if for conditional compilation
#include <Timer5.h>    // Library: https://github.com/michael71/Timer5,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,286,Includes the contents of a file (Timer5.h)
#else,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,303,Else clause for conditional compilation
#warning LED indicator needs a functional timer!,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,305,Generates a compilation warning with a message: LED indicator needs a functional timer!
#endif,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,310,Ends conditional compilation block
#include <WiFi.h>,examples/Blynk.Edgent/Edgent_ESP32/OTA.h,2,Includes the contents of a file (WiFi.h)
#include <Update.h>,examples/Blynk.Edgent/Edgent_ESP32/OTA.h,3,Includes the contents of a file (Update.h)
#include <HTTPClient.h>,examples/Blynk.Edgent/Edgent_ESP32/OTA.h,4,Includes the contents of a file (HTTPClient.h)
#ifdef BLYNK_FS,examples/Blynk.Edgent/Edgent_ESP32/OTA.h,64,Conditional compilation - evaluates compile-time expression - def BLYNK_FS
#endif,examples/Blynk.Edgent/Edgent_ESP32/OTA.h,66,Ends conditional compilation block
#ifdef BOARD_BUTTON_PIN,examples/Blynk.Edgent/Edgent_ESP32/ResetButton.h,2,Conditional compilation - evaluates compile-time expression - def BOARD_BUTTON_PIN
#if BOARD_BUTTON_ACTIVE_LOW,examples/Blynk.Edgent/Edgent_ESP32/ResetButton.h,14,Conditional compilation - evaluates compile-time expression - BOARD_BUTTON_ACTIVE_LOW
#else,examples/Blynk.Edgent/Edgent_ESP32/ResetButton.h,16,Else clause for conditional compilation
#endif,examples/Blynk.Edgent/Edgent_ESP32/ResetButton.h,18,Ends conditional compilation block
#if BOARD_BUTTON_ACTIVE_LOW,examples/Blynk.Edgent/Edgent_ESP32/ResetButton.h,38,Conditional compilation - evaluates compile-time expression - BOARD_BUTTON_ACTIVE_LOW
#else,examples/Blynk.Edgent/Edgent_ESP32/ResetButton.h,40,Else clause for conditional compilation
#endif,examples/Blynk.Edgent/Edgent_ESP32/ResetButton.h,42,Ends conditional compilation block
#else,examples/Blynk.Edgent/Edgent_ESP32/ResetButton.h,46,Else clause for conditional compilation
#define g_buttonPressed     false,examples/Blynk.Edgent/Edgent_ESP32/ResetButton.h,48,Defines a macro or constant (g_buttonPressed)
#define g_buttonPressTime   0,examples/Blynk.Edgent/Edgent_ESP32/ResetButton.h,49,Defines a macro or constant (g_buttonPressTime)
#endif,examples/Blynk.Edgent/Edgent_ESP32/ResetButton.h,53,Ends conditional compilation block
#if defined(USE_WROVER_BOARD),examples/Blynk.Edgent/Edgent_ESP32/Settings.h,6,Conditional compilation - evaluates compile-time expression - defined(USE_WROVER_BOARD)
#define BOARD_BUTTON_PIN            15,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,8,Defines a macro or constant (BOARD_BUTTON_PIN)
#define BOARD_BUTTON_ACTIVE_LOW     true,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,9,Defines a macro or constant (BOARD_BUTTON_ACTIVE_LOW)
#define BOARD_LED_PIN_R             0,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,11,Defines a macro or constant (BOARD_LED_PIN_R)
#define BOARD_LED_PIN_G             2,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,12,Defines a macro or constant (BOARD_LED_PIN_G)
#define BOARD_LED_PIN_B             4,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,13,Defines a macro or constant (BOARD_LED_PIN_B)
#define BOARD_LED_INVERSE           false,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,14,Defines a macro or constant (BOARD_LED_INVERSE)
#define BOARD_LED_BRIGHTNESS        128,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,15,Defines a macro or constant (BOARD_LED_BRIGHTNESS)
#elif defined(USE_TTGO_T7),examples/Blynk.Edgent/Edgent_ESP32/Settings.h,17,Else-if for conditional compilation
"#warning ""This board does not have a button. Connect a button to gpio0 <> GND""",examples/Blynk.Edgent/Edgent_ESP32/Settings.h,19,"Generates a compilation warning with a message: ""This board does not have a button. Connect a button to gpio0 <> GND"""
#define BOARD_BUTTON_PIN            0,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,21,Defines a macro or constant (BOARD_BUTTON_PIN)
#define BOARD_BUTTON_ACTIVE_LOW     true,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,22,Defines a macro or constant (BOARD_BUTTON_ACTIVE_LOW)
#define BOARD_LED_PIN               19,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,24,Defines a macro or constant (BOARD_LED_PIN)
#define BOARD_LED_INVERSE           false,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,25,Defines a macro or constant (BOARD_LED_INVERSE)
#define BOARD_LED_BRIGHTNESS        64,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,26,Defines a macro or constant (BOARD_LED_BRIGHTNESS)
#elif defined(USE_TTGO_T_OI),examples/Blynk.Edgent/Edgent_ESP32/Settings.h,28,Else-if for conditional compilation
"#warning ""This board does not have a button. Connect a button to gpio0 <> GND""",examples/Blynk.Edgent/Edgent_ESP32/Settings.h,30,"Generates a compilation warning with a message: ""This board does not have a button. Connect a button to gpio0 <> GND"""
#define BOARD_BUTTON_PIN            0,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,32,Defines a macro or constant (BOARD_BUTTON_PIN)
#define BOARD_BUTTON_ACTIVE_LOW     true,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,33,Defines a macro or constant (BOARD_BUTTON_ACTIVE_LOW)
#define BOARD_LED_PIN               3,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,35,Defines a macro or constant (BOARD_LED_PIN)
#define BOARD_LED_INVERSE           false,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,36,Defines a macro or constant (BOARD_LED_INVERSE)
#define BOARD_LED_BRIGHTNESS        64,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,37,Defines a macro or constant (BOARD_LED_BRIGHTNESS)
#elif defined(USE_ESP32_DEV_MODULE),examples/Blynk.Edgent/Edgent_ESP32/Settings.h,39,Else-if for conditional compilation
"#warning ""The LED of this board is not configured""",examples/Blynk.Edgent/Edgent_ESP32/Settings.h,41,"Generates a compilation warning with a message: ""The LED of this board is not configured"""
#define BOARD_BUTTON_PIN            0,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,43,Defines a macro or constant (BOARD_BUTTON_PIN)
#define BOARD_BUTTON_ACTIVE_LOW     true,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,44,Defines a macro or constant (BOARD_BUTTON_ACTIVE_LOW)
#elif defined(USE_ESP32C3_DEV_MODULE),examples/Blynk.Edgent/Edgent_ESP32/Settings.h,46,Else-if for conditional compilation
#define BOARD_BUTTON_PIN            9,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,48,Defines a macro or constant (BOARD_BUTTON_PIN)
#define BOARD_BUTTON_ACTIVE_LOW     true,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,49,Defines a macro or constant (BOARD_BUTTON_ACTIVE_LOW)
#define BOARD_LED_PIN_WS2812        8,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,51,Defines a macro or constant (BOARD_LED_PIN_WS2812)
#define BOARD_LED_INVERSE           false,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,52,Defines a macro or constant (BOARD_LED_INVERSE)
#define BOARD_LED_BRIGHTNESS        32,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,53,Defines a macro or constant (BOARD_LED_BRIGHTNESS)
#elif defined(USE_ESP32S2_DEV_KIT),examples/Blynk.Edgent/Edgent_ESP32/Settings.h,55,Else-if for conditional compilation
#define BOARD_BUTTON_PIN            0,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,57,Defines a macro or constant (BOARD_BUTTON_PIN)
#define BOARD_BUTTON_ACTIVE_LOW     true,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,58,Defines a macro or constant (BOARD_BUTTON_ACTIVE_LOW)
#define BOARD_LED_PIN               19,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,60,Defines a macro or constant (BOARD_LED_PIN)
#define BOARD_LED_INVERSE           false,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,61,Defines a macro or constant (BOARD_LED_INVERSE)
#define BOARD_LED_BRIGHTNESS        128,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,62,Defines a macro or constant (BOARD_LED_BRIGHTNESS)
#else,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,64,Else clause for conditional compilation
"#warning ""Custom board configuration is used""",examples/Blynk.Edgent/Edgent_ESP32/Settings.h,66,"Generates a compilation warning with a message: ""Custom board configuration is used"""
#define BOARD_BUTTON_PIN            0                     // Pin where user button is attached,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,68,Defines a macro or constant (BOARD_BUTTON_PIN)
"#define BOARD_BUTTON_ACTIVE_LOW     true                  // true if button is ""active-low""",examples/Blynk.Edgent/Edgent_ESP32/Settings.h,69,Defines a macro or constant (BOARD_BUTTON_ACTIVE_LOW)
"#define BOARD_LED_INVERSE           false                 // true if LED is common anode, false if common cathode",examples/Blynk.Edgent/Edgent_ESP32/Settings.h,76,Defines a macro or constant (BOARD_LED_INVERSE)
#define BOARD_LED_BRIGHTNESS        64                    // 0..255 brightness control,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,77,Defines a macro or constant (BOARD_LED_BRIGHTNESS)
#endif,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,79,Ends conditional compilation block
#define BUTTON_HOLD_TIME_INDICATION   3000,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,86,Defines a macro or constant (BUTTON_HOLD_TIME_INDICATION)
#define BUTTON_HOLD_TIME_ACTION       10000,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,87,Defines a macro or constant (BUTTON_HOLD_TIME_ACTION)
