Macro Name,Directive,File,Line,Occurrences
BLYNK_EVERY_N_MINUTES_I,"#define BLYNK_EVERY_N_MINUTES_I(NAME,N) static BlynkEveryNMinutes NAME(N); if(NAME)",src/Blynk/BlynkEveryN.h,61,1
BLYNK_EVERY_N_SECONDS,"#define BLYNK_EVERY_N_SECONDS(N) BLYNK_EVERY_N_SECONDS_I(BLYNK_CONCAT2(PER, __COUNTER__),N)",src/Blynk/BlynkEveryN.h,65,1
BLYNK_EVERY_N_SECONDS_I,"#define BLYNK_EVERY_N_SECONDS_I(NAME,N) static BlynkEveryNSeconds NAME(N); if(NAME)",src/Blynk/BlynkEveryN.h,60,1
BLYNK_F,#define BLYNK_F(s)        F(s),src/Blynk/BlynkHelpers.h,73,2
BLYNK_FALLTHROUGH,#define BLYNK_FALLTHROUGH     __attribute__ ((fallthrough)),src/Blynk/BlynkHelpers.h,52,1
BLYNK_FATAL,#define BLYNK_FATAL(msg)     { BLYNK_LOG1(msg); BlynkFatal(); },src/Blynk/BlynkDebug.h,47,1
BLYNK_FILE_READ,"#define BLYNK_FILE_READ  ""r""",examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,24,1
BLYNK_FILE_WRITE,"#define BLYNK_FILE_WRITE ""w""",examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,25,1
BLYNK_FIRMWARE_TYPE,#define BLYNK_FIRMWARE_TYPE         BOARD_FIRMWARE_TYPE,src/Blynk/BlynkApi.h,17,3
BLYNK_FIRMWARE_VERSION,"#define BLYNK_FIRMWARE_VERSION        ""0.1.0""",examples/Blynk.Edgent/Edgent_ESP32/Edgent_ESP32.ino,27,8
BLYNK_FORCE_INLINE,#define BLYNK_FORCE_INLINE    inline //__attribute__((always_inline)),src/Blynk/BlynkHelpers.h,55,1
BLYNK_FS,#define BLYNK_FS LittleFS,examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,12,4
BLYNK_GREEN,"#define BLYNK_GREEN     ""#23C48E""",examples/More/SetProperty/SetProperty_SingleValue/SetProperty_SingleValue.ino,39,2
BLYNK_HAS_FUNCTIONAL_H,#define BLYNK_HAS_FUNCTIONAL_H,src/Blynk/BlynkHelpers.h,84,1
BLYNK_HAS_PROGMEM,#define BLYNK_HAS_PROGMEM,src/Blynk/BlynkHelpers.h,71,1
BLYNK_HEARTBEAT,#define BLYNK_HEARTBEAT 60,src/Adapters/BlynkArduinoGSM.h,18,4
BLYNK_HW_AR,"#define BLYNK_HW_AR BLYNK_STR_16('a','r')",src/Blynk/BlynkProtocolDefs.h,109,1
BLYNK_HW_AW,"#define BLYNK_HW_AW BLYNK_STR_16('a','w')",src/Blynk/BlynkProtocolDefs.h,108,1
BLYNK_HW_DR,"#define BLYNK_HW_DR BLYNK_STR_16('d','r')",src/Blynk/BlynkProtocolDefs.h,107,1
BLYNK_HW_DW,"#define BLYNK_HW_DW BLYNK_STR_16('d','w')",src/Blynk/BlynkProtocolDefs.h,106,1
BLYNK_HW_PM,"#define BLYNK_HW_PM BLYNK_STR_16('p','m')",src/Blynk/BlynkProtocolDefs.h,105,1
BLYNK_HW_VR,"#define BLYNK_HW_VR BLYNK_STR_16('v','r')",src/Blynk/BlynkProtocolDefs.h,111,1
BLYNK_HW_VW,"#define BLYNK_HW_VW BLYNK_STR_16('v','w')",src/Blynk/BlynkProtocolDefs.h,110,1
BLYNK_INFO_CONNECTION,"#define BLYNK_INFO_CONNECTION  ""MKRGSM""",src/Adapters/BlynkArduinoGSM.h,14,49
BLYNK_INFO_CPU,"#define BLYNK_INFO_CPU      ""ATmega168""",src/Blynk/BlynkDetectDevice.h,23,18
BLYNK_INFO_DEVICE,"#define BLYNK_INFO_DEVICE  ""Linux""",linux/BlynkApiLinux.h,17,117
BLYNK_INPUT,#define BLYNK_INPUT(pin)        BLYNK_IN_2(pin),src/Blynk/BlynkHandlers.h,173,1
BLYNK_INPUT_DEFAULT,#define BLYNK_INPUT_DEFAULT()   BLYNK_IN_2(Default),src/Blynk/BlynkHandlers.h,170,1
BLYNK_INT_ACON,"#define BLYNK_INT_ACON BLYNK_STR_32('a','c','o','n')",src/Blynk/BlynkProtocolDefs.h,118,1
BLYNK_INT_ADIS,"#define BLYNK_INT_ADIS BLYNK_STR_32('a','d','i','s')",src/Blynk/BlynkProtocolDefs.h,119,1
BLYNK_INT_DBG,"#define BLYNK_INT_DBG  BLYNK_STR_32('d','b','g',0)",src/Blynk/BlynkProtocolDefs.h,117,1
BLYNK_INT_META,"#define BLYNK_INT_META BLYNK_STR_32('m','e','t','a')",src/Blynk/BlynkProtocolDefs.h,120,1
BLYNK_INT_OTA,"#define BLYNK_INT_OTA  BLYNK_STR_32('o','t','a',0)",src/Blynk/BlynkProtocolDefs.h,115,1
BLYNK_INT_RTC,"#define BLYNK_INT_RTC  BLYNK_STR_32('r','t','c',0)",src/Blynk/BlynkProtocolDefs.h,113,1
BLYNK_INT_UTC,"#define BLYNK_INT_UTC  BLYNK_STR_32('u','t','c',0)",src/Blynk/BlynkProtocolDefs.h,114,1
BLYNK_INT_VFS,"#define BLYNK_INT_VFS  BLYNK_STR_32('v','f','s',0)",src/Blynk/BlynkProtocolDefs.h,116,1
BLYNK_IN_2,#define BLYNK_IN_2(pin)  \,src/Blynk/BlynkHandlers.h,164,1
BLYNK_LOG,"#define BLYNK_LOG(msg, ...)  BLYNK_LOG_UNAVAILABLE(msg, ##__VA_ARGS__)",src/Blynk/BlynkDebug.h,66,5
BLYNK_LOG1,#define BLYNK_LOG1(p1)            { BLYNK_LOG_TIME(); BLYNK_PRINT.println(p1); },src/Blynk/BlynkDebug.h,71,4
BLYNK_LOG2,"#define BLYNK_LOG2(p1,p2)         { BLYNK_LOG_TIME(); BLYNK_PRINT.print(p1); BLYNK_PRINT.println(p2); }",src/Blynk/BlynkDebug.h,72,4
BLYNK_LOG3,"#define BLYNK_LOG3(p1,p2,p3)      { BLYNK_LOG_TIME(); BLYNK_PRINT.print(p1); BLYNK_PRINT.print(p2); BLYNK_PRINT.println(p3); }",src/Blynk/BlynkDebug.h,73,4
BLYNK_LOG4,"#define BLYNK_LOG4(p1,p2,p3,p4)   { BLYNK_LOG_TIME(); BLYNK_PRINT.print(p1); BLYNK_PRINT.print(p2); BLYNK_PRINT.print(p3); BLYNK_PRINT.println(p4); }",src/Blynk/BlynkDebug.h,74,4
BLYNK_LOG6,"#define BLYNK_LOG6(p1,p2,p3,p4,p5,p6) { BLYNK_LOG_TIME(); BLYNK_PRINT.print(p1); BLYNK_PRINT.print(p2); BLYNK_PRINT.print(p3); BLYNK_PRINT.print(p4); BLYNK_PRINT.print(p5); BLYNK_PRINT.println(p6); }",src/Blynk/BlynkDebug.h,75,4
BLYNK_LOG_FN,"#define BLYNK_LOG_FN()       BLYNK_LOG3(BLYNK_F(__FUNCTION__), '@', __LINE__);",src/Blynk/BlynkDebug.h,49,1
BLYNK_LOG_IP,"#define BLYNK_LOG_IP(msg, ip)     { BLYNK_LOG_TIME(); BLYNK_PRINT.print(BLYNK_F(msg)); \",src/Blynk/BlynkDebug.h,76,2
BLYNK_LOG_IP_REV,"#define BLYNK_LOG_IP_REV(msg, ip) { BLYNK_LOG_TIME(); BLYNK_PRINT.print(BLYNK_F(msg)); \",src/Blynk/BlynkDebug.h,81,2
BLYNK_LOG_RAM,"#define BLYNK_LOG_RAM()      { BLYNK_LOG2(BLYNK_F(""Free RAM: ""), BlynkFreeRam()); }",src/Blynk/BlynkDebug.h,48,1
BLYNK_LOG_TIME,"#define BLYNK_LOG_TIME() BLYNK_PRINT.printf(""[%ld]"", BlynkMillis());",src/Blynk/BlynkDebug.h,160,2
BLYNK_LOG_TROUBLE,"#define BLYNK_LOG_TROUBLE(t) BLYNK_LOG2(BLYNK_F(""Trouble detected: http://docs.blynk.cc/#troubleshooting-""), t)",src/Blynk/BlynkDebug.h,50,1
BLYNK_MAX_CLIENT_QTY,#define BLYNK_MAX_CLIENT_QTY 4,src/BlynkMultiClient.h,22,1
BLYNK_MAX_READBYTES,#define BLYNK_MAX_READBYTES  256,src/Blynk/BlynkConfig.h,48,2
BLYNK_MAX_SENDBYTES,#define BLYNK_MAX_SENDBYTES  128,src/Blynk/BlynkConfig.h,53,2
BLYNK_MAX_TIMERS,#define BLYNK_MAX_TIMERS 8,src/Blynk/BlynkDetectDevice.h,228,2
BLYNK_MINIMIZE_PINMODE_USAGE,#define BLYNK_MINIMIZE_PINMODE_USAGE,src/BlynkSimpleIntelEdisonWiFi.h,18,1
BLYNK_MSG_LIMIT,#define BLYNK_MSG_LIMIT      15,src/Blynk/BlynkConfig.h,43,1
BLYNK_MULTI_STREAM_MAX_QTY,#define BLYNK_MULTI_STREAM_MAX_QTY 6,src/utility/BlynkStreamMulti.h,5,1
BLYNK_MUTEX_DECL,#define BLYNK_MUTEX_DECL(x)     std::mutex x,src/Blynk/BlynkHelpers.h,91,2
BLYNK_MUTEX_GUARD,"#define BLYNK_MUTEX_GUARD(x)    std::lock_guard<std::mutex> BLYNK_CONCAT2(lg_, __LINE__)(x)",src/Blynk/BlynkHelpers.h,92,2
BLYNK_NCP_BAUD,#define BLYNK_NCP_BAUD  115200,src/BlynkEdgentNCP.h,28,4
BLYNK_NCP_PORT,"#define BLYNK_NCP_PORT ""/dev/ttyACM0""",src/BlynkEdgentNCP.h,71,2
BLYNK_NEWLINE,"#define BLYNK_NEWLINE         ""\r\n""",src/Blynk/BlynkHelpers.h,37,1
BLYNK_NEW_LIBRARY,#define BLYNK_NEW_LIBRARY,src/Blynk/BlynkConfig.h,29,1
BLYNK_NORETURN,#define BLYNK_NORETURN        __attribute__ ((noreturn)),src/Blynk/BlynkHelpers.h,48,1
BLYNK_NO_BUILTIN,#define BLYNK_NO_BUILTIN,tests/BlynkBuildTest/BlynkBuildTest.ino,16,2
BLYNK_NO_DEFAULT_BANNER,#define BLYNK_NO_DEFAULT_BANNER,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,124,3
BLYNK_NO_FLOAT,#define BLYNK_NO_FLOAT,src/Blynk/BlynkDetectDevice.h,71,2
BLYNK_NO_INFO,#define BLYNK_NO_INFO,src/BlynkSimpleSerialBLE.h,21,3
BLYNK_NO_LONGLONG,#define BLYNK_NO_LONGLONG,src/Blynk/BlynkDetectDevice.h,72,1
BLYNK_NO_YIELD,#define BLYNK_NO_YIELD,src/Blynk/BlynkDetectDevice.h,64,8
BLYNK_ON_READ_IMPL,#define BLYNK_ON_READ_IMPL(pin)  void BlynkWidgetRead  ## pin (BlynkReq BLYNK_UNUSED &req) \,src/utility/BlynkHandlers.cpp,27,1
BLYNK_ON_WRITE_IMPL,"#define BLYNK_ON_WRITE_IMPL(pin) void BlynkWidgetWrite ## pin (BlynkReq BLYNK_UNUSED &req, const BlynkParam BLYNK_UNUSED &param) \",src/utility/BlynkHandlers.cpp,30,1
BLYNK_OUTPUT,#define BLYNK_OUTPUT(pin)       BLYNK_OUT_2(pin),src/Blynk/BlynkHandlers.h,174,1
BLYNK_OUTPUT_DEFAULT,#define BLYNK_OUTPUT_DEFAULT()  BLYNK_OUT_2(Default),src/Blynk/BlynkHandlers.h,171,1
BLYNK_OUT_2,#define BLYNK_OUT_2(pin) \,src/Blynk/BlynkHandlers.h,167,1
BLYNK_PARAM_KV,"#define BLYNK_PARAM_KV(k, v) k ""\0"" v ""\0""",src/Blynk/BlynkParam.h,19,1
BLYNK_PARAM_PLACEHOLDER_64,"#define BLYNK_PARAM_PLACEHOLDER_64 ""PlaceholderPlaceholderPlaceholderPlaceholderPlaceholderPlaceholder""",src/Blynk/BlynkParam.h,20,1
BLYNK_PRINT,#define BLYNK_PRINT Serial,examples/Blynk.Edgent/Edgent_ESP32/Edgent_ESP32.ino,29,80
BLYNK_PROGMEM,#define BLYNK_PROGMEM     PROGMEM,src/Blynk/BlynkHelpers.h,72,2
BLYNK_PROV_ERR_CLOUD,#define BLYNK_PROV_ERR_CLOUD    702    // Could not connect to the cloud,examples/Blynk.Edgent/Edgent_ESP32/ConfigStore.h,8,3
BLYNK_PROV_ERR_CONFIG,"#define BLYNK_PROV_ERR_CONFIG   700    // Invalid config from app (malformed token,etc)",examples/Blynk.Edgent/Edgent_ESP32/ConfigStore.h,6,3
BLYNK_PROV_ERR_INTERNAL,#define BLYNK_PROV_ERR_INTERNAL 704    // Other issues (i.e. hardware failure),examples/Blynk.Edgent/Edgent_ESP32/ConfigStore.h,10,3
BLYNK_PROV_ERR_NETWORK,#define BLYNK_PROV_ERR_NETWORK  701    // Could not connect to the router,examples/Blynk.Edgent/Edgent_ESP32/ConfigStore.h,7,3
BLYNK_PROV_ERR_NONE,#define BLYNK_PROV_ERR_NONE     0      // All good,examples/Blynk.Edgent/Edgent_ESP32/ConfigStore.h,5,3
BLYNK_PROV_ERR_TOKEN,#define BLYNK_PROV_ERR_TOKEN    703    // Invalid token error (after connection),examples/Blynk.Edgent/Edgent_ESP32/ConfigStore.h,9,3
BLYNK_PSTR,#define BLYNK_PSTR(s)     PSTR(s),src/Blynk/BlynkHelpers.h,74,2
BLYNK_READ,#define BLYNK_READ(pin)       BLYNK_READ_2(pin),src/Blynk/BlynkHandlers.h,161,1
BLYNK_READ_2,#define BLYNK_READ_2(pin)  \,src/Blynk/BlynkHandlers.h,154,1
BLYNK_READ_DEFAULT,#define BLYNK_READ_DEFAULT()  BLYNK_READ_2(Default),src/Blynk/BlynkHandlers.h,158,1
BLYNK_RED,"#define BLYNK_RED       ""#D3435C""",examples/More/SetProperty/SetProperty_SingleValue/SetProperty_SingleValue.ino,42,2
BLYNK_RUN_YIELD,#define BLYNK_RUN_YIELD() {},src/Blynk/BlynkHelpers.h,59,4
BLYNK_SECS_PER_DAY,#define BLYNK_SECS_PER_DAY     (BLYNK_SECS_PER_HOUR * 24UL),src/Blynk/BlynkDateTime.h,40,1
BLYNK_SECS_PER_HOUR,#define BLYNK_SECS_PER_HOUR    (3600UL),src/Blynk/BlynkDateTime.h,39,1
BLYNK_SECS_PER_MIN,#define BLYNK_SECS_PER_MIN     (60UL),src/Blynk/BlynkDateTime.h,38,1
BLYNK_SECS_PER_WEEK,#define BLYNK_SECS_PER_WEEK    (BLYNK_SECS_PER_DAY * 7UL),src/Blynk/BlynkDateTime.h,41,1
BLYNK_SEND_ATOMIC,#define BLYNK_SEND_ATOMIC,src/Adapters/BlynkArduinoGSM.h,25,24
BLYNK_SEND_CHUNK,#define BLYNK_SEND_CHUNK 64,src/Blynk/BlynkDetectDevice.h,81,19
BLYNK_SEND_THROTTLE,#define BLYNK_SEND_THROTTLE 0,src/Blynk/BlynkProtocol.h,436,3
BLYNK_SERVER_PORT,#define BLYNK_SERVER_PORT BLYNK_DEFAULT_PORT_SSL,src/Adapters/BlynkEthernet.h,19,6
BLYNK_SSL_RX_BUF_SIZE,#define BLYNK_SSL_RX_BUF_SIZE 2048,src/BlynkSimpleEsp8266_SSL.h,42,1
BLYNK_SSL_TX_BUF_SIZE,#define BLYNK_SSL_TX_BUF_SIZE 512,src/BlynkSimpleEsp8266_SSL.h,46,1
BLYNK_STRINGIFY,#define BLYNK_STRINGIFY(x)    #x,src/Blynk/BlynkHelpers.h,42,1
BLYNK_STR_16,"#define BLYNK_STR_16(a,b)     ((uint16_t(a) << 0) | (uint16_t(b) << 8))",src/Blynk/BlynkProtocolDefs.h,96,2
BLYNK_STR_32,"#define BLYNK_STR_32(a,b,c,d) ((uint32_t(a) << 0) | (uint32_t(b) << 8) | (uint32_t(c) << 16) | (uint32_t(d) << 24))",src/Blynk/BlynkProtocolDefs.h,97,2
BLYNK_TEMPLATE_ID,#define BLYNK_TEMPLATE_ID           BOARD_TEMPLATE_ID,src/Blynk/BlynkApi.h,25,1
BLYNK_TEMPLATE_NAME,#define BLYNK_TEMPLATE_NAME BLYNK_DEVICE_NAME,examples/Blynk.Edgent/Edgent_ESP32/BlynkEdgent.h,27,3
BLYNK_TERMINAL_BUFF_IN,#define BLYNK_TERMINAL_BUFF_IN BLYNK_MAX_READBYTES,src/WidgetTerminal.h,17,1
BLYNK_TERMINAL_BUFF_OUT,#define BLYNK_TERMINAL_BUFF_OUT 250,src/WidgetTerminal.h,14,1
BLYNK_TIMEOUT_MS,#define BLYNK_TIMEOUT_MS 6000,src/Adapters/BlynkArduinoGSM.h,22,5
BLYNK_TOSTRING,#define BLYNK_TOSTRING(x)     BLYNK_STRINGIFY(x),src/Blynk/BlynkHelpers.h,43,1
BLYNK_UNUSED,#define BLYNK_UNUSED          __attribute__ ((__unused__)),src/Blynk/BlynkHelpers.h,49,1
BLYNK_USE_128_VPINS,#define BLYNK_USE_128_VPINS,src/Blynk/BlynkDetectDevice.h,65,31
BLYNK_USE_INTERNAL_ATOLL,#define BLYNK_USE_INTERNAL_ATOLL,src/Blynk/BlynkDetectDevice.h,227,2
BLYNK_USE_INTERNAL_DTOSTRF,#define BLYNK_USE_INTERNAL_DTOSTRF,src/Blynk/BlynkDetectDevice.h,66,4
BLYNK_USE_SSL,#define BLYNK_USE_SSL,src/BlynkSimpleEthernetSSL.h,24,1
BLYNK_USE_STREAM_CLASS,#define BLYNK_USE_STREAM_CLASS,src/WidgetTerminal.h,21,2
BLYNK_VAR_DOUBLE,"#define BLYNK_VAR_DOUBLE(name, pin) \",src/Blynk/BlynkHandlers.h,193,1
BLYNK_VAR_INT,"#define BLYNK_VAR_INT(name, pin) \",src/Blynk/BlynkHandlers.h,182,1
BLYNK_VAR_LONG,"#define BLYNK_VAR_LONG(name, pin) \",src/Blynk/BlynkHandlers.h,187,1
BLYNK_VAR_STRING,"#define BLYNK_VAR_STRING(name, pin) \",src/Blynk/BlynkHandlers.h,200,1
BLYNK_VERSION,"#define BLYNK_VERSION        ""1.3.2""",src/Blynk/BlynkConfig.h,27,1
BLYNK_WRITE,#define BLYNK_WRITE(pin)      BLYNK_WRITE_2(pin),src/Blynk/BlynkHandlers.h,160,1
BLYNK_WRITE_2,#define BLYNK_WRITE_2(pin) \,src/Blynk/BlynkHandlers.h,151,1
BLYNK_WRITE_DEFAULT,#define BLYNK_WRITE_DEFAULT() BLYNK_WRITE_2(Default),src/Blynk/BlynkHandlers.h,157,1
BLYNK_YELLOW,"#define BLYNK_YELLOW    ""#ED9D00""",examples/More/SetProperty/SetProperty_SingleValue/SetProperty_SingleValue.ino,41,2
BOARD_ANALOG_IN_MAX,#define BOARD_ANALOG_IN_MAX int(NUM_ANALOG_INPUTS),tests/GenerateJSON/GenerateJSON.ino,18,2
BOARD_ANALOG_MAX,#define BOARD_ANALOG_MAX    ((2^(ADC_RESOLUTION))-1),tests/GenerateJSON/GenerateJSON.ino,61,2
BOARD_BUTTON_ACTIVE_LOW,#define BOARD_BUTTON_ACTIVE_LOW     true,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,9,12
BOARD_BUTTON_PIN,#define BOARD_BUTTON_PIN            15,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,8,12
BOARD_DIGITAL_MAX,#define BOARD_DIGITAL_MAX int(NUM_DIGITAL_PINS),tests/GenerateJSON/GenerateJSON.ino,9,3
BOARD_INFO_MHZ,#define BOARD_INFO_MHZ clockCyclesPerMicrosecond(),tests/GenerateJSON/GenerateJSON.ino,69,2
BOARD_LEDC_BASE_FREQ,#define BOARD_LEDC_BASE_FREQ          12000,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,96,1
BOARD_LEDC_CHANNEL_1,#define BOARD_LEDC_CHANNEL_1          1,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,92,1
BOARD_LEDC_CHANNEL_2,#define BOARD_LEDC_CHANNEL_2          2,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,93,1
BOARD_LEDC_CHANNEL_3,#define BOARD_LEDC_CHANNEL_3          3,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,94,1
BOARD_LEDC_TIMER_BITS,#define BOARD_LEDC_TIMER_BITS         10,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,95,1
BOARD_LED_BRIGHTNESS,#define BOARD_LED_BRIGHTNESS 255,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,11,14
BOARD_LED_INVERSE,#define BOARD_LED_INVERSE           false,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,14,10
BOARD_LED_IS_RGB,#define BOARD_LED_IS_RGB,examples/Blynk.Edgent/Edgent_ESP32/Indicator.h,15,3
BOARD_LED_PIN,#define BOARD_LED_PIN               19,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,24,5
BOARD_LED_PIN_B,#define BOARD_LED_PIN_B             4,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,13,2
BOARD_LED_PIN_G,#define BOARD_LED_PIN_G             2,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,12,2
BOARD_LED_PIN_R,#define BOARD_LED_PIN_R             0,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,11,2
BOARD_LED_PIN_WS2812,#define BOARD_LED_PIN_WS2812        8,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,51,2
BOARD_PWM_MAX,#define BOARD_PWM_MAX                 1023,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,90,6
BOARD_VIRTUAL_MAX,#define BOARD_VIRTUAL_MAX 127,tests/GenerateJSON/GenerateJSON.ino,25,2
BUTTON_HOLD_TIME_ACTION,#define BUTTON_HOLD_TIME_ACTION       10000,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,87,3
BUTTON_HOLD_TIME_INDICATION,#define BUTTON_HOLD_TIME_INDICATION   3000,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,86,3
BUTTON_PRESS_TIME_ACTION,#define BUTTON_PRESS_TIME_ACTION      50,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,88,3
BlynkApiArduino_h,#define BlynkApiArduino_h,src/BlynkApiArduino.h,12,1
BlynkApiLinux_h,#define BlynkApiLinux_h,linux/BlynkApiLinux.h,12,1
BlynkApiMbed_h,#define BlynkApiMbed_h,src/BlynkApiMbed.h,12,1
BlynkApiParticle_h,#define BlynkApiParticle_h,src/BlynkApiParticle.h,12,1
